id,question,answer_original,answer_yoda
train_44102,how many bees does a queen bee produce,"Queen bee Although the name might imply it, a queen bee does not directly control the hive. Her sole function is to serve as the reproducer. A well-mated and well-fed queen of quality stock can lay about 1,500 eggs per day during the spring build-upâ€”more than her own body weight in eggs every day. She is continuously surrounded by worker bees who meet her every need, giving her food and disposing of her waste. The attendant workers also collect and then distribute queen mandibular pheromone, a pheromone that inhibits the workers from starting queen cells.[7]","A queen bee, does not directly control the hive, she does. The reproducer, her sole function is. A well-mated and well-fed queen of quality stock, about 1,500 eggs per day can lay during the spring build-up, more than her own body weight in eggs every day, she does. Surrounded by worker bees, continuously, her needs, they meet. Food, they give her, and her waste, they dispose of. A pheromone that inhibits the workers from starting queen cells, they also collect and distribute, they do. The queen mandib"
train_60126,what disney movie has the song a whole new world,"Alan Menken Menken and Ashman's Beauty and the Beast garnered them three 1991 Oscar nominations for Best Song, winning for its title song.[35] Menken won another Oscar for Best Score. The two were working on Aladdin at the time of Ashman's death in 1991. Subsequently, Menken went to collaborate with Tim Rice to finish the songs for the film. The film won an Oscar in 1992 for Best Song: ""A Whole New World"".[35] Menken also won the Oscar for Best Score. Menken's live action musical film Newsies, with lyrics by Jack Feldman, was released in 1992. Three more animated musical films followed. Menken collaborated with Stephen Schwartz for Pocahontas, for which the two won two Oscars: Best Song and Best Musical or Comedy Score. In 1996, the same musical team created the songs, and Menken, the score, for The Hunchback of Notre Dame. In 1997, Menken reunited with his early collaborator, David Zippel, for his last animated musical film in the series, Hercules.[36]","Menken and Ashman's Beauty and the Beast garnered them three 1991 Oscar nominations for Best Song, winning for its title song. Menken won another Oscar for Best Score. The two were working on Aladdin at the time of Ashman's death in 1991. Subsequently, Menken went to collaborate with Tim Rice to finish the songs for the film. The film won an Oscar in 1992 for Best Song: ""A Whole New World"". Menken also won the Oscar for Best Score. Menken's live action musical film Newsies, with lyrics by Jack Feldman, was released"
train_40714,when was the decimal currency system introduced in india,"Decimalisation India changed from the rupee, anna, pie system to decimal currency on 1 April 1957.","system From the rupee, anna, pie system to decimal currency on 1 April 1957, India changed."
train_44702,who emphasized the processes of experience and problem solving,"Problem solving Mental set was first articulated by Abraham Luchins in the 1940s and demonstrated in his well-known water jug experiments.[26] In these experiments, participants were asked to fill one jug with a specific amount of water using only other jugs (typically three) with different maximum capacities as tools. After Luchins gave his participants a set of water jug problems that could all be solved by employing a single technique, he would then give them a problem that could either be solved using that same technique or a novel and simpler method. Luchins discovered that his participants tended to use the same technique that they had become accustomed to despite the possibility of using a simpler alternative.[27] Thus mental set describes one's inclination to attempt to solve problems in such a way that has proved successful in previous experiences. However, as Luchins' work revealed, such methods for finding a solution that have worked in the past may not be adequate or optimal for certain new but similar problems. Therefore, it is often necessary for people to move beyond their mental sets in order to find solutions. This was again demonstrated in Norman Maier's 1931 experiment, which challenged participants to solve a problem by using a household object (pliers) in an unconventional manner. Maier observed that participants were often unable to view the object in a way that strayed from its typical use, a phenomenon regarded as a particular form of mental set (more specifically known as functional fixedness, which is the topic of the following section). When people cling rigidly to their mental sets, they are said to be experiencing fixation, a seeming obsession or preoccupation with attempted strategies that are repeatedly unsuccessful.[28] In the late 1990s, researcher Jennifer Wiley worked to reveal that expertise can work to create a mental set in persons considered to be experts in certain fields, and she furthermore gained evidence that the mental set created by expertise could lead to the development of fixation.[29]","Mental set, first articulated by Abraham Luchins in the 1940s, was. In his well-known water jug experiments, this was demonstrated. In these experiments, participants were asked to fill one jug with a specific amount of water using only other jugs (typically three) with different maximum capacities as tools. After Luchins gave his participants a set of water jug problems that could all be solved by employing a single technique, he would then give them a problem that could either be solved using that same technique or a novel and simpler method. Luchins discovered that his participants tended to use the same technique that they had"
train_63702,risk for infection related to premature rupture of membrane,"Premature rupture of membranes At any gestational age, an opening in the fetal membranes provides a route for bacteria to enter the womb. This can lead to chorioamnionitis (an infection of the fetal membranes and amniotic fluid) which can be life-threatening to both the mother and fetus.[3] The risk of infection increases the longer the membranes remain open and baby undelivered.[1] Women with preterm PROM will develop an intramniotic infection 15â€“25% of the time, and the chances of infection increase at earlier gestational ages.[1]","system At any gestational age, an opening in the fetal membranes provides a route for bacteria to enter the womb. This can lead to chorioamnionitis (an infection of the fetal membranes and amniotic fluid) which can be life-threatening to both the mother and fetus. The risk of infection increases the longer the membranes remain open and baby undelivered. Women with preterm PROM will develop an intramniotic infection 15–25% of the time, and the chances of infection increase at earlier gestational ages."
train_54838,model video klip how deep is your love,"How Deep Is Your Love (Calvin Harris and Disciples song) The accompanying music video for ""How Deep Is Your Love"", directed by Emil Nava, premiered on Tidal on 4 August 2015 and was released elsewhere on 6 August 2015.[18] It features American model Gigi Hadid.[5] Filming took place in Malibu, California in late June 2015.[19] The video begins with Gigi laying on a table which she gets up on and walks down a hall into a party with bikinied women. Other scenes include Gigi flashing in different colors in a black background. Gigi then finds herself on a sea boat with water bikers. She then is transported to a pool where she dives into and walks out and takes off her clothes and hops in a shower and moves into another party room. Next, she is shown with motorcycles swarming around her. The video ends with Gigi walking out of the party room. It was won for Best Electronic Video on the 2016 MTV Video Music Awards.","How Deep Is Your Love, (Calvin Harris and Disciples song) The accompanying music video for ""How Deep Is Your Love"", directed by Emil Nava, premiered on Tidal on 4 August 2015, and was released elsewhere on 6 August 2015. The features American model Gigi Hadid. Filming in Malibu, California, in late June 2015, took place. The video begins with Gigi on a table laying, which she gets up on and down a hall into a party with bikinied women walks. Other scenes include Gigi in different colors in a black background flashing."
train_44863,who are the hosts of australian ninja warrior,"Australian Ninja Warrior The series was announced in 2016 with applications open until 9 September 2016, with filming between November & December 2016 on Cockatoo Island.[2] The series was officially confirmed at Nine's upfronts in November 2016 with Rebecca Maddern announced as host.[3][4] A few days after the announcement, Ben Fordham was announced as second host & Freddie Flintoff as the series' sideline reporter.[5] The series began airing on 9 July 2017.[1]","Announced in 2016, the series was, with applications open until 9 September 2016, with filming between November & December 2016 on Cockatoo Island, it was. Confirmed at Nine's upfronts in November 2016, the series was, with Rebecca Maddern as host, it was. A few days after the announcement, Ben Fordham as second host, and Freddie Flintoff as sideline reporter, was announced, he was. Began airing on 9 July 2017, the series did."
train_72495,when did they change the name mintonette to volleyball,"Volleyball After an observer, Alfred Halstead, noticed the volleying nature of the game at its first exhibition match in 1896, played at the International YMCA Training School (now called Springfield College), the game quickly became known as volleyball (it was originally spelled as two words: ""volley ball""). Volleyball rules were slightly modified by the International YMCA Training School and the game spread around the country to various YMCAs.[2][3]","system After an observer, Alfred Halstead, noticed the volleying nature of the game at its first exhibition match in 1896, played at the International YMCA Training School (now called Springfield College), the game quickly became known as volleyball (it was originally spelled as two words: ""volley ball""). Volleyball rules were slightly modified by the International YMCA Training School and the game spread around the country to various YMCAs."
train_71800,when would the priest enter the holy of holies,"Holy of Holies The Holy of Holies was covered by a veil, and no one was allowed to enter except the High Priest, and even he could only enter once a year on Yom Kippur (the day of atonement), to offer the blood of sacrifice and incense before the mercy seat. The Bible reports that in the wilderness, on the day that the tabernacle was first raised up, the cloud of the Lord covered the tabernacle (Exodus 40:33-40:34). There are other times that this was recorded, and instructions were given that the Lord would appear in the cloud upon the mercy seat (kapporet), and at that time the priests should not enter into the tabernacle (Leviticus 16:2). According to the Hebrew Bible, the Holy of Holies contained the Ark of the Covenant with representation of Cherubim. Upon completion of the dedication of the Tabernacle, the Voice of God spoke to Moses ""from between the Cherubim"" (Numbers 7:89).","Covered by a veil, the Holy of Holies was, and no one was allowed to enter except the High Priest, and even he could only enter once a year on Yom Kippur, to offer the blood of sacrifice and incense before the mercy seat. The cloud of the Lord, the tabernacle covered in the wilderness, on the day that the tabernacle was first raised up, (Exodus 40:33-40:34) the reports the Bible does. In the cloud upon the mercy seat, the Lord appear would, and at that time, the priests into the tabernacle not enter"
train_21635,who is the original singer of sweet child of mine,"Sweet Child o' Mine ""Sweet Child o' Mine"" is a song by American rock band Guns N' Roses, appearing on their debut album, Appetite for Destruction. Released in August 1988 as the album's third single, the song topped the Billboard Hot 100 chart,[1] becoming the band's only number 1 US single. Billboard ranked it the number 5 song of 1988.[2] Re-released in 1989, it reached number 6 on the UK Singles Chart.[3] Guitarist Slash said in 1990, ""[The song] turned into a huge hit and now it makes me sick. I mean, I like it, but I hate what it represents.""[4]","A song by American rock band Guns N' Roses, ""Sweet Child o' Mine"" is. On their debut album, Appetite for Destruction, it appears. Released in August 1988 as the album's third single, the song the Billboard Hot 100 chart tops, becoming the band's only number 1 US single. The number 5 song of 1988, Billboard ranked it. Re-released in 1989, it on the UK Singles Chart, number 6 reaches. Huge hit, it turned into, and now it makes me sick, said guitarist Slash. Like it, I do"
